1,1,1
2,1,6
3,1,2
4,2,8
5,2,4
6,2,6
7,2,2
8,3,4
9,3,1
10,3,7
11,3,9
12,3,2
13,4,4
14,4,3
15,5,8
16,5,1
17,5,6
18,5,10
19,5,7
20,5,2
21,6,5
22,6,3
23,6,6
24,6,7
25,6,9
26,6,2
27,7,8
28,7,5
29,7,1
30,7,2
31,8,4
32,8,6
33,8,10
34,8,7
35,8,2
36,9,5
37,9,1
38,9,3
39,9,7
40,9,9
41,9,2
42,10,4
43,10,7
44,10,2
45,11,8
46,11,1
47,11,10
48,11,2
49,12,8
50,12,5
51,12,4
52,12,3
53,12,2
54,13,8
55,13,4
56,13,1
57,13,6
58,13,9
59,14,6
60,14,2
61,15,8
62,15,5
63,15,3
64,15,10
65,15,7
66,15,2
67,16,4
68,16,7
69,16,2
70,17,8
71,17,1
72,17,9
73,17,2
74,18,6
75,18,7
76,18,9
77,19,8
78,19,4
79,19,3
80,20,10
81,20,2
82,21,4
83,21,1
84,21,10
85,21,2
86,22,8
87,22,1
88,22,6
89,22,9
90,23,5
91,23,10
92,23,7
93,24,7
94,25,8
95,25,6
96,25,2
97,26,5
98,26,4
99,26,3
100,26,10
101,26,9
